source_year,workbook_name,sheet_name,chapter,likely_table_title,topic,geography_level_candidate,is_index_sheet,likely_analytical_table,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,total_keyword_hits,source_keyword_hits,detected_years,normalized_match_title
2022,2022-Chapter-II-Health-Resources.xlsx,2.15,Health Resources,أسرة العناية المركزة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022م,Capacity,Health Region,NO,YES,29,19,7,8,17,4,0,,أسرة العناية المركزة بمستشفيات وزارة الصحة المنطقة الصحية م
2022,2022-Chapter-II-Health-Resources.xlsx,2.16,Health Resources,أسرة العزل والطوارئ بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022,Capacity | Activity,Health Region,NO,YES,29,19,7,8,17,6,0,2022,أسرة العزل والطوارئ بمستشفيات وزارة الصحة المنطقة الصحية
2022,2022-Chapter-II-Health-Resources.xlsx,2.17,Health Resources,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",Capacity | Workforce,Unknown / National / Other,NO,YES,78,19,14,15,0,18,0,,"health manpower in moh hospitals by nationality, in the last five years"
2022,2022-Chapter-II-Health-Resources.xlsx,2.18,Health Resources,القوى العاملة الصحية بمستشفيات وزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,Capacity | Workforce,Health Region,NO,YES,176,21,7,8,9,36,0,,القوى ا لة الصحية بمستشفيات وزارة الصحة المنطقة الصحية والفئة والجنس والجنسية م
2022,2022-Chapter-II-Health-Resources.xlsx,2.19,Health Resources,"Physicians and Dentists, MoH Hospitals by Speciality, Professional Categories and Health Region, 2022G.",Capacity | Workforce | Activity,Health Region,NO,YES,131,75,7,8,8,14,0,,"physicians and dentists, moh hospitals by speciality, professional categories and health region, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.20,Health Resources,مراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity,Health Region,NO,YES,31,11,4,5,18,2,0,,مراكز الرعاية الصحية الأولية بوزارة الصحة المنطقة الصحية في الأعوام الخمسة الأخيرة
2022,2022-Chapter-II-Health-Resources.xlsx,2.21,Health Resources,"Health Manpower in Primary Health Care Centers, MoH, in the last Five Years",Capacity | Workforce,Unknown / National / Other,NO,YES,29,19,14,15,0,18,0,,"health manpower in primary health care centers, moh, in the last five years"
2022,2022-Chapter-II-Health-Resources.xlsx,2.22,Health Resources,"Physicians and Dentists in MoH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",Capacity | Workforce,Unknown / National / Other,NO,YES,34,9,4,5,0,15,0,,"physicians and dentists in moh primary health care centers by speciality and nationality, in the last five years"
2022,2022-Chapter-II-Health-Resources.xlsx,2.23,Health Resources,القوى العاملة الصحية بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,Capacity | Workforce,Health Region,NO,YES,176,21,14,15,10,36,0,,القوى ا لة الصحية بمراكز الرعاية الصحية الأولية بوزارة الصحة المنطقة الصحية والفئة والجنس والجنسية م
2022,2022-Chapter-II-Health-Resources.xlsx,2.24,Health Resources,الأطباء بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب التخصصات الرئيسية والجنسية والجنس والمنطقة الصحية عام 2022م.,Capacity | Workforce,Health Region,NO,YES,158,21,13,14,9,36,0,,الأطباء بمراكز الرعاية الصحية الأولية بوزارة الصحة التخصصات الرئيسية والجنسية والجنس والمنطقة الصحية م
2022,2022-Chapter-II-Health-Resources.xlsx,2.25,Health Resources,"Hospital Beds in Other Governmental Sector by Speciality, 2022G.",Capacity | Activity,Unknown / National / Other,NO,YES,27,56,4,5,0,4,0,2022,"hospital beds in other governmental sector by speciality, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.26,Health Resources,"Health Manpower in Other Governmental Sector by Category,Sex and Nationality, 2022G.",Capacity | Workforce,Unknown / National / Other,NO,YES,120,28,14,15,1,36,1,,"health manpower in other governmental sector by category,sex and nationality, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.27,Health Resources,"Physicians & Dentists in Other Governmental Sector by Speciality and Nationality, 2022G.",Capacity | Workforce | Activity,Unknown / National / Other,NO,YES,130,24,7,8,0,10,0,,"physicians & dentists in other governmental sector by speciality and nationality, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.28,Health Resources,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",Workforce,Unknown / National / Other,NO,YES,78,20,12,13,0,18,0,,"health manpower in the other governmental sector by nationality, in the last five years"
2022,2022-Chapter-II-Health-Resources.xlsx,2.29,Health Resources,"Private Sector Hospitals, Medical Complexes, Beds and Other Medical Facilities by Health Region, 2022G.",Capacity | Workforce,Health Region,NO,YES,31,29,4,7,18,2,0,,"private sector hospitals, medical complexes, beds and other medical facilities by health region, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.30,Health Resources,المستشفيات والأسرة والمجمعات الطبية بالقطاع الخاص حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity,Health Region,NO,YES,29,25,5,7,18,2,0,,المستشفيات والأسرة والمجمعات الطبية بالقطاع الخاص المنطقة الصحية في الأعوام الخمسة الأخيرة
2022,2022-Chapter-II-Health-Resources.xlsx,2.31,Health Resources,"Hospital Beds at Private Sector by Health Region and Speciality , 2022G.",Capacity | Activity,Health Region,NO,YES,34,40,4,5,18,4,0,,"hospital beds at private sector by health region and speciality , g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.32,Health Resources,"Single Doctor Private Clinics by Health Region and Speciality, 2022G.",Workforce | Activity,Health Region,NO,YES,19,37,4,5,10,4,0,,"single doctor private clinics by health region and speciality, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2-33,Health Resources,Health Manpower at Private Sector in the last Five Years,Workforce,Unknown / National / Other,NO,YES,78,16,12,13,0,18,0,,health manpower at private sector in the last five years
2022,2022-Chapter-II-Health-Resources.xlsx,2.34,Health Resources,"Health Manpower in the Private Sector by Health Region,Category,Sex and Nationality, 2022G",Workforce,Health Region,NO,YES,181,24,14,15,9,36,0,,"health manpower in the private sector by health region,category,sex and nationality, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.35,Health Resources,"Health Manpower in Private Sector Hospitals by Health Region,Category,Sex and Nationality, 2022G",Capacity | Workforce,Health Region,NO,YES,178,17,14,15,9,36,0,,"health manpower in private sector hospitals by health region,category,sex and nationality, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.36,Health Resources,"Health Manpower in Private Sector Medical Complexes by Health Region, Category, Sex and Nationality, 2022G",Workforce,Health Region,NO,YES,176,16,14,15,9,36,0,,"health manpower in private sector medical complexes by health region, category, sex and nationality, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.37,Health Resources,"Physicians and Dentists in the Private Sector by Speciality, Professional Categories and Health Region, 2022G.",Workforce | Activity,Health Region,NO,YES,131,31,7,8,6,14,0,,"physicians and dentists in the private sector by speciality, professional categories and health region, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2.38,Health Resources,"Health Manpower in Private Health Facilities by Facility Classification, Sex and Nationality, 2022G.",Capacity | Workforce,Unknown / National / Other,NO,YES,31,29,7,8,0,30,0,,"health manpower in private health facilities by facility classification, sex and nationality, g"
