workbook_name,sheet_name,sheet_state,max_row_reported,max_column_reported,rows_scanned,columns_scanned,first_non_empty_row_candidate,probable_header_row,probable_data_start_row,blank_rows_in_sample,sample_non_empty_cells,region_keyword_hits,year_keyword_hits,total_keyword_hits,source_keyword_hits,region_candidate_count,year_candidate_count,detected_years,analytical_clues
2022-Chapter-IV-Health-Activities.xlsx,47,visible,48,12,40,12,1,13,,27,62,0,1,2,0,0,0,,"year, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,48,visible,28,8,28,8,1,4,5,1,187,4,1,6,0,18,1,2022,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,49,visible,24,43,24,40,1,4,6,1,147,4,3,4,0,17,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,50,visible,23,14,23,14,1,4,5,1,131,2,1,3,0,17,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,51,visible,31,48,31,40,1,5,6,3,629,4,1,4,1,44,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,52,visible,26,21,26,21,1,4,5,1,200,0,3,4,0,0,0,,year
2022-Chapter-IV-Health-Activities.xlsx,53,visible,12,5,12,5,1,4,5,0,49,0,1,1,0,0,0,,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,54,visible,28,11,28,11,1,4,5,1,233,4,4,4,1,18,0,,"region, year, hospital, bed, nurse"
2022-Chapter-IV-Health-Activities.xlsx,55,visible,27,13,27,13,1,4,5,1,163,4,3,2,0,18,4,2022,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,56,visible,16,15,16,15,1,4,5,1,68,0,2,0,0,0,0,,year
2022-Chapter-IV-Health-Activities.xlsx,57,visible,53,6,40,6,1,15,16,14,126,0,2,0,2,0,0,,year
2022-Chapter-IV-Health-Activities.xlsx,58,visible,29,9,29,9,1,6,7,2,210,4,1,3,1,19,0,,"region, year, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,59,visible,27,6,27,6,1,6,7,0,141,4,1,2,0,19,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,مؤشرات أداء الصحة,visible,1,1,1,1,,,,0,0,0,0,0,0,0,0,,
2022-Chapter-IV-Health-Activities.xlsx,fig1,visible,45,26,40,26,1,15,16,23,31,0,1,0,0,0,12,2022,year
