workbook_name,sheet_name,row_number,column_number,year_candidate,cell_value
2022-Chapter-IV-Health-Activities.xlsx,fig2,10,25,2022,2022-Feb
2022-Chapter-IV-Health-Activities.xlsx,fig2,11,25,2022,2022-Mar
2022-Chapter-IV-Health-Activities.xlsx,fig2,12,25,2022,2022-Apr
2022-Chapter-IV-Health-Activities.xlsx,fig2,13,25,2022,2022-May
2022-Chapter-IV-Health-Activities.xlsx,fig2,14,25,2022,2022-Jun
2022-Chapter-IV-Health-Activities.xlsx,fig2,15,25,2022,2022-Jul
2022-Chapter-IV-Health-Activities.xlsx,fig2,16,25,2022,2022-Aug
2022-Chapter-IV-Health-Activities.xlsx,fig2,17,25,2022,2022-Sep
2022-Chapter-IV-Health-Activities.xlsx,fig2,18,25,2022,2022-Oct
2022-Chapter-IV-Health-Activities.xlsx,fig2,19,25,2022,2022-Nov
2022-Chapter-IV-Health-Activities.xlsx,fig2,20,25,2022,2022-Dec
2022-Chapter-IV-Health-Activities.xlsx,fig3,8,26,2022,2022-Jan
2022-Chapter-IV-Health-Activities.xlsx,fig3,9,26,2022,2022-Feb
2022-Chapter-IV-Health-Activities.xlsx,fig3,10,26,2022,2022-Mar
2022-Chapter-IV-Health-Activities.xlsx,fig3,11,26,2022,2022-Apr
2022-Chapter-IV-Health-Activities.xlsx,fig3,12,26,2022,2022-May
2022-Chapter-IV-Health-Activities.xlsx,fig3,13,26,2022,2022-Jun
2022-Chapter-IV-Health-Activities.xlsx,fig3,14,26,2022,2022-Jul
2022-Chapter-IV-Health-Activities.xlsx,fig3,15,26,2022,2022-Aug
2022-Chapter-IV-Health-Activities.xlsx,fig3,16,26,2022,2022-Sep
2022-Chapter-IV-Health-Activities.xlsx,fig3,17,26,2022,2022-Oct
2022-Chapter-IV-Health-Activities.xlsx,fig3,18,26,2022,2022-Nov
2022-Chapter-IV-Health-Activities.xlsx,fig3,19,26,2022,2022-Dec
2022-Chapter-IV-Health-Activities.xlsx,fig4,6,25,2022,2022-Jan
2022-Chapter-IV-Health-Activities.xlsx,fig4,7,25,2022,2022-Feb
2022-Chapter-IV-Health-Activities.xlsx,fig4,8,25,2022,2022-Mar
2022-Chapter-IV-Health-Activities.xlsx,fig4,9,25,2022,2022-Apr
2022-Chapter-IV-Health-Activities.xlsx,fig4,10,25,2022,2022-May
2022-Chapter-IV-Health-Activities.xlsx,fig4,11,25,2022,2022-Jun
2022-Chapter-IV-Health-Activities.xlsx,fig4,12,25,2022,2022-Jul
2022-Chapter-IV-Health-Activities.xlsx,fig4,13,25,2022,2022-Aug
2022-Chapter-IV-Health-Activities.xlsx,fig4,14,25,2022,2022-Sep
2022-Chapter-IV-Health-Activities.xlsx,fig4,15,25,2022,2022-Oct
2022-Chapter-IV-Health-Activities.xlsx,fig4,16,25,2022,2022-Nov
