comparison_group_id,source_year,workbook_name,sheet_name,chapter,topic,likely_table_title,geography_level_candidate,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,detected_years,group_geography_levels,comparison_status,manual_validation_required
FY-012,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.25,Health Resources,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2021G.",Unknown / National / Other,24,56,4,5,2,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-012,2022,2022-Chapter-II-Health-Resources.xlsx,2.25,Health Resources,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2022G.",Unknown / National / Other,27,56,4,5,0,2022,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-012,2023,Statistical-Yearbook-2023.xlsx,30,Unknown / Other,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2023G.",Unknown / National / Other,15,37,4,5,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-012,2024,Statistical-Yearbook-2024.xlsx,2-10,Health Resources,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2024G.",Unknown / National / Other,13,14,13,,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-013,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.28,Health Resources,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",Unknown / National / Other,78,19,12,13,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-013,2022,2022-Chapter-II-Health-Resources.xlsx,2.28,Health Resources,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",Unknown / National / Other,78,20,12,13,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-013,2023,Statistical-Yearbook-2023.xlsx,33,Unknown / Other,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",Unknown / National / Other,78,19,12,13,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-013,2024,Statistical-Yearbook-2024.xlsx,2-38,Health Resources,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",Unknown / National / Other,78,19,12,13,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-014,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-33,Health Resources,Workforce,Health Manpower at Private Sector in the last Five Years,Unknown / National / Other,78,16,12,13,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-014,2022,2022-Chapter-II-Health-Resources.xlsx,2-33,Health Resources,Workforce,Health Manpower at Private Sector in the last Five Years,Unknown / National / Other,78,16,12,13,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
