source_value,occurrence_count,candidate_level,canonical_value,mapping_status,mapping_note
جميع محافظات منطقة المدينة المنورة,1,Unknown / National / Other,,REVIEW,
فرع الوزارة بمنطقة القصيم,1,Unknown / National / Other,,REVIEW,
جميع محافظات منطقة القصيم,1,Unknown / National / Other,,REVIEW,
فرع الوزارة بالمنطقة الشرقية,1,Health Region,,REVIEW,
جميع محافظات المنطقة الشرقية عدا محافظتي الأحساء وحفر الباطن,1,Health Region,,REVIEW,
فرع الوزارة بمنطقة عسير,1,Unknown / National / Other,,REVIEW,
جميع محافظات منطقة عسير عدا محافظات بيشىة وتثليث وبالقرن والأمواه,1,Unknown / National / Other,,REVIEW,
فرع الوزارة بمنطقة تبوك,1,Unknown / National / Other,,REVIEW,
جميع محافظات منطقة تبوك,1,Unknown / National / Other,,REVIEW,
فرع الوزارة بمنطقة حائل,1,Unknown / National / Other,,REVIEW,
جميع محافظات منطقة حائل,1,Unknown / National / Other,,REVIEW,
فرع الوزارة بمنطقة الحدود الشمالية,1,Unknown / National / Other,,REVIEW,
جميع محافظات منطقة الحدود الشمالية,1,Unknown / National / Other,,REVIEW,
"Former Health Affairs Directorates and their Corresponding Administrative Regions, Governorates, Health Clusters, and Branches & Offices of the Ministry of Health",1,Health Cluster,,REVIEW,
MoH Branch in Riyadh Region,1,Health Region,,REVIEW,
All Governorates in Riyadh Region,1,Health Region,,REVIEW,
MoH Branch in Makkah Region,1,Health Region,,REVIEW,
"Makkah (Emirate headquarters) and the governorates of Al-Jumum, Khulais, Al-Kamil and Bahra",1,Unknown / National / Other,,REVIEW,
MoH Branch in Madinah Region,1,Health Region,,REVIEW,
All governorates of Madinah region,1,Health Region,,REVIEW,
MoH Branch in Qassim Region,1,Health Region,,REVIEW,
All governorates of Qassim region,1,Health Region,,REVIEW,
MoH Branch in Eastern Region,1,Health Region,,REVIEW,
All governorates of the Eastern region except Al-Ahsa and Hafar Al-Batin,1,Health Region,,REVIEW,
MoH Branch in Asir Region,1,Health Region,,REVIEW,
"All governorates of Asir region except Bisha, Tathlith, Balqarn and Al Amwah",1,Health Region,,REVIEW,
MoH Branch in Tabuk Region,1,Health Region,,REVIEW,
All governorates of Tabuk region,1,Health Region,,REVIEW,
MoH Branch in Hail Region,1,Health Region,,REVIEW,
All governorates of Hail region,1,Health Region,,REVIEW,
MoH Branch in Northern Borders Region,1,Health Region,,REVIEW,
All governorates of Northern Borders region,1,Health Region,,REVIEW,
Northern Borders Health Cluster,1,Health Cluster,,REVIEW,
أسرة العناية المركزة بمستشفيات وزارة الصحة حسب التجمعات الصحية ونوع العناية لعام 2024م,1,Health Cluster,,REVIEW,
"Intensive Care Beds at MoH Hospitals By Health Cluster and Type of Intensive Care Bed, 2024G",1,Health Cluster,,REVIEW,
أسرة الطوارئ بمستشفيات وزارة الصحة حسب التجمعات الصحية لعام 2024م,1,Health Cluster,,REVIEW,
"ER Beds at MoH Hospitals By Health Clusters, 2024G",1,Health Cluster,,REVIEW,
الطب الرياضي,1,Unknown / National / Other,,REVIEW,
المدينة الطبية الجامعية بمدينة الملك سعود,1,Unknown / National / Other,,REVIEW,
Makkah Health Cluster - The Holy Capital,1,Health Cluster,,REVIEW,
زيارات المراجعين لعيادات السكرى بمستشفيات وزارة الصحة حسب الجنس والجنسية والتجمع الصحي عام 2024م.,1,Health Cluster,,REVIEW,
"Encounters to Diabetic Clinics, MOH Hospitals by Gender, Nationality and Health Cluster, 2024G.",1,Health Cluster,,REVIEW,
زيارات المراجعين لعيادات الأسنان بوزارة الصحة حسب الجنس والجنسية والتجمع الصحي عام 2024م,1,Health Cluster,,REVIEW,
"Encounters to Dental Clinics, MoH by Gender, Nationality and Health Cluster, 2024G.",1,Health Cluster,,REVIEW,
الخدمات الرئيسية للأسنان بمراكز طب الأسنان بوزارة الصحة حسب نوع الخدمة والتجمع الصحي عام 2024م.,1,Health Cluster,,REVIEW,
"Main Dental Services in Dental Centers, MoH by Type of Service and Health Cluster, 2024G.",1,Health Cluster,,REVIEW,
العمليات الجراحية للفك والأسنان وحالات الخلع بوزارة الصحة حسب التجمعات الصحية عام 2024م.,1,Health Cluster,,REVIEW,
"Oral Surgery and Teeth Extraction at MoH Facilities by Health Cluster, 2024G.",1,Health Cluster,,REVIEW,
حالات الدخول لمستشفيات وزارة الصحة حسب التجمعات الصحية والجنس والجنسية عام 2024م.,1,Health Cluster,,REVIEW,
"Admissions at MoH Hospitals by Health Clusters, Gender and Nationality, 2024G.",1,Health Cluster,,REVIEW,
حالات الخروج من مستشفيات وزارة الصحة حسب التجمعات الصحية والجنس والجنسية عام 2024م.,1,Health Cluster,,REVIEW,
"Discharges from MoH Hospitals by Health Cluster, Gender and Nationality, 2024G.",1,Health Cluster,,REVIEW,
المرضى المنومون بمستشفيات الرعاية المديدة وأسرة الرعاية المديدة بالمستشفيات العامة بوزارة الصحة حسب التجمعات الصحية عام 2024م.,1,Health Cluster,,REVIEW,
"Inpatients at Long-term Hospitals and Long-term Beds of General Hospitals of MoH by Health Cluster, 2024 G.",1,Health Cluster,,REVIEW,
المؤشرات المختارة عن خدمات مستشفيات وزارة الصحة حسب التجمعات الصحية عام 2024م .,1,Health Cluster,,REVIEW,
"Selected Indicators of MoH Hospital Services by Health Clusters, 2024G",1,Health Cluster,,REVIEW,
بعض المؤشرات المختارة عن خدمات مستشفيات الصحة النفسية والرعاية المديدة والتأهيل بوزارة الصحة حسب التجمعات الصحية عام 2024م.,1,Health Cluster,,REVIEW,
"Some Selected Indicators of MoH Psychiatric, Long Term Care and Rehabilitation Hospitals by Health Clusters, 2024G.",1,Health Cluster,,REVIEW,
التدخلات الجراحية بمستشفيات وزارة الصحة حسب التجمعات الصحية والقسم لعام 2024م.,1,Health Cluster,,REVIEW,
"Surgical Interventions at MoH Hospitals by Health Clusters and Hospital Sections, 2024G.",1,Health Cluster,,REVIEW,
التجمعات الصحي,1,Health Cluster,,REVIEW,
التجمع الصحي الأول بالرياض,1,Health Cluster,,REVIEW,
First Health Cluster - Riyadh,1,Health Cluster,,REVIEW,
التجمع الصحي الثاني بالرياض,1,Health Cluster,,REVIEW,
Second Health Cluster - Riyadh,1,Health Cluster,,REVIEW,
التجمع الصحي الثالث بالرياض,1,Health Cluster,,REVIEW,
Third Health Cluster - Riyadh,1,Health Cluster,,REVIEW,
التجمع الصحي بمكة المكرمة - العاصمة المقدسة,1,Health Cluster,,REVIEW,
التجمع الصحي بمكة المكرمة - القنفذة,1,Health Cluster,,REVIEW,
إجمالي التجمع الصحي بمكة المكرمة,1,Health Cluster,,REVIEW,
التجمع الصحي الأول بجدة,1,Health Cluster,,REVIEW,
First Health Cluster - Jeddah,1,Health Cluster,,REVIEW,
التجمع الصحي الثاني بجدة,1,Health Cluster,,REVIEW,
Second Health Cluster - Jeddah,1,Health Cluster,,REVIEW,
التجمع الصحي بالطائف,1,Health Cluster,,REVIEW,
Ta`if Health Cluster,1,Health Cluster,,REVIEW,
التجمع الصحي بالمدينة المنورة,1,Health Cluster,,REVIEW,
التجمع الصحي بالقصيم,1,Health Cluster,,REVIEW,
الفحوص المخبرية بمستشفيات وزارة الصحة حسب التجمعات الصحية ونوع الفحص لعام 2024م.,1,Health Cluster,,REVIEW,
"Laboratory Investigations at MoH Hospitals by Health Cluster and Type of Investigation, 2024G.",1,Health Cluster,,REVIEW,
إجمالي تجمع عسير الصحي,1,Health Cluster,,REVIEW,
Total Asir Health Cluster,1,Health Cluster,,REVIEW,
Al- Jouf,1,Unknown / National / Other,,REVIEW,
إدارة خدمات السموم الشرعية بالرياض,1,Unknown / National / Other,,REVIEW,
Riyadh FTSA,1,Unknown / National / Other,,REVIEW,
إدارة خدمات السموم الشرعية بمكة المكرمة,1,Unknown / National / Other,,REVIEW,
Makkah FTSA,1,Unknown / National / Other,,REVIEW,
إدارة خدمات السموم الشرعية بالمدينة المنورة,1,Unknown / National / Other,,REVIEW,
إدارة خدمات السموم الشرعية بالقصيم,1,Unknown / National / Other,,REVIEW,
Qassim FTSA,1,Unknown / National / Other,,REVIEW,
إدارة خدمات السموم الشرعية بعسير,1,Unknown / National / Other,,REVIEW,
إدارة خدمات السموم الشرعية بتبوك,1,Unknown / National / Other,,REVIEW,
إدارة خدمات السموم الشرعية بجازان,1,Unknown / National / Other,,REVIEW,
Jazan FTSA,1,Unknown / National / Other,,REVIEW,
إدارة خدمات السموم الشرعية بالباحة,1,Unknown / National / Other,,REVIEW,
Baha FTSA,1,Unknown / National / Other,,REVIEW,
وحدة خدمات السموم الشرعية بحائل,1,Unknown / National / Other,,REVIEW,
Hail FTU,1,Unknown / National / Other,,REVIEW,
وحدة خدمات السموم الشرعية بالجوف,1,Unknown / National / Other,,REVIEW,
Jouf FTU,1,Unknown / National / Other,,REVIEW,
Jouf,1,Unknown / National / Other,,REVIEW,
وحدة خدمات السموم الشرعية بنجران,1,Unknown / National / Other,,REVIEW,
Najran FTU,1,Unknown / National / Other,,REVIEW,
وحدة خدمات السموم الشرعية بالحدود الشمالية,1,Unknown / National / Other,,REVIEW,
Northern Borders FTU,1,Unknown / National / Other,,REVIEW,
الإحالات شاملة الإحالات العكسية التي تمت إحالتها إلى المستشفيات الحكومية العامة أو التخصصية حسب التجمع المحيل والمستقبل عام 2024م.,1,Health Cluster,,REVIEW,
التجمعات الصحية المستقبلة,1,Health Cluster,,REVIEW,
تجمع جازان الصحي,1,Health Cluster,,REVIEW,
تجمع نجران الصحي,1,Health Cluster,,REVIEW,
تجمع الباحة الصحي,1,Health Cluster,,REVIEW,
تجمع الجوف الصحي,1,Health Cluster,,REVIEW,
التجمعات الصحية المرسلة,1,Health Cluster,,REVIEW,
مستشفيات جهات حكومية أخرى بالرياض,1,Unknown / National / Other,,REVIEW,
Other Governmental Hospitals- Riyadh,1,Unknown / National / Other,,REVIEW,
عدد المواعيد الافتراضية المكتملة بمرافق وزارة الصحة حسب التجمعات الصحية لعام 2024م.,1,Health Cluster,,REVIEW,
"Number of Completed Virtual Appointments at Ministry of Health Facilities by Health Cluster, 2024G.",1,Health Cluster,,REVIEW,
