year_a,workbook_a,sheet_a,title_a,year_b,workbook_b,sheet_b,title_b,topic,similarity_score,manual_validation_required
2022,2022-Chapter-II-Health-Resources.xlsx,2-6,المرافق الصحية بوزارة الصحة حسب المنطقة الصحية عام 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-6,المرافق الصحية بوزارة الصحة حسب المنطقة الصحية عام 2021م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-6,المرافق الصحية بوزارة الصحة حسب المنطقة الصحية عام 2022م,2023,Statistical-Yearbook-2023.xlsx,11.,المرافق الصحية بوزارة الصحة حسب المنطقة الصحية عام 2023م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-7,القوى العاملة الصحية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-7,القوى العاملة الصحية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2021م,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-7,القوى العاملة الصحية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,2023,Statistical-Yearbook-2023.xlsx,12.,القوى العاملة الصحية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2023م,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-8 ,Health Manpower in MoH by Nationality in the Last Five Years,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 ,Health Manpower in MOH by Nationality in the Last Five Years,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-8 ,Health Manpower in MoH by Nationality in the Last Five Years,2023,Statistical-Yearbook-2023.xlsx,13.,Health Manpower in MoH by Nationality in the Last Five Years,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-8 ,Health Manpower in MoH by Nationality in the Last Five Years,2024,Statistical-Yearbook-2024.xlsx,2-37,Health Manpower in MoH by Nationality in the Last Five Years,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-9,"Allied Health Personnel by Speciality, Nationality & Sex, 2022G",2023,Statistical-Yearbook-2023.xlsx,14,"Allied Health Personnel by Speciality, Nationality & Sex, 2023G",Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-10,القابلات بمرافق وزارة الصحة حسب المنطقة الصحية عام 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-10,القابلات بمرافق وزارة الصحة حسب المنطقة الصحية عام 2021م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-10,القابلات بمرافق وزارة الصحة حسب المنطقة الصحية عام 2022م,2023,Statistical-Yearbook-2023.xlsx,15,القابلات بمرافق وزارة الصحة حسب المنطقة الصحية عام 2023م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-11,المستشفيات والأسرة بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-11,المستشفيات والأسرة بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-11,المستشفيات والأسرة بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,2023,Statistical-Yearbook-2023.xlsx,16,المستشفيات والأسرة بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-12,مستشفيات وزارة الصحة وعدد الأسرة حسب المنطقة الصحية والتخصص لعام 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-12,مستشفيات وزارة الصحة وعدد الأسرة حسب المنطقة الصحية والتخصص لعام 2021م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-12,مستشفيات وزارة الصحة وعدد الأسرة حسب المنطقة الصحية والتخصص لعام 2022م,2023,Statistical-Yearbook-2023.xlsx,17,مستشفيات وزارة الصحة وعدد الأسرة حسب المنطقة الصحية والتخصص لعام 2023م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-13,مستشفيات وزارة الصحة حسب السعة السريرية والمنطقة الصحية للعام 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-13,مستشفيات وزارة الصحة حسب السعة السريرية والمنطقة الصحية للعام 2021م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-13,مستشفيات وزارة الصحة حسب السعة السريرية والمنطقة الصحية للعام 2022م,2023,Statistical-Yearbook-2023.xlsx,18,مستشفيات وزارة الصحة حسب السعة السريرية والمنطقة الصحية للعام 2023م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.14,الأسرة بمستشفيات وزارة الصحة حسب المنطقة الصحية والتخصص لعام 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.14,الأسرة بمستشفيات وزارة الصحة حسب المنطقة الصحية والتخصص لعام 2021م,Capacity | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.14,الأسرة بمستشفيات وزارة الصحة حسب المنطقة الصحية والتخصص لعام 2022م,2023,Statistical-Yearbook-2023.xlsx,19,الأسرة بمستشفيات وزارة الصحة حسب المنطقة الصحية والتخصص لعام 2023م,Capacity | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.15,أسرة العناية المركزة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.15,أسرة العناية المركزة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2021م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.15,أسرة العناية المركزة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022م,2023,Statistical-Yearbook-2023.xlsx,20,أسرة العناية المركزة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2023م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.16,أسرة العزل والطوارئ بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.16,أسرة العزل والطوارئ بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2021,Capacity | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.17,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.17,"Health Manpower in MOH Hospitals by Nationality, in the last Five Years",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.17,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",2023,Statistical-Yearbook-2023.xlsx,22,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.17,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",2024,Statistical-Yearbook-2024.xlsx,2-40,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.18,القوى العاملة الصحية بمستشفيات وزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.18,القوى العاملة الصحية بمستشفيات وزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2021م,Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.18,القوى العاملة الصحية بمستشفيات وزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,2023,Statistical-Yearbook-2023.xlsx,23,القوى العاملة الصحية بمستشفيات وزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2023م,Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.19,"Physicians and Dentists, MoH Hospitals by Speciality, Professional Categories and Health Region, 2022G.",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.19,"Physicians and Dentists, MOH Hospitals by Speciality, Professional Categories and Health Region, 2021G.",Capacity | Workforce | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.19,"Physicians and Dentists, MoH Hospitals by Speciality, Professional Categories and Health Region, 2022G.",2023,Statistical-Yearbook-2023.xlsx,24,"Physicians and Dentists, MoH Hospitals by Speciality, Professional Categories and Health Region, 2023G.",Capacity | Workforce | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.20,مراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.20,مراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity,1.0,YES
