source_value,occurrence_count,original_candidate_level,proposed_geography_type,canonical_health_region,canonical_health_cluster,parent_health_region,valid_from_year,valid_to_year,mapping_status,mapping_note
المرضى المنومون بمستشفيات الرعاية المديدة وأسرة الرعاية المديدة بالمستشفيات العامة بوزارة الصحة حسب التجمعات الصحية عام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
بعض المؤشرات المختارة عن خدمات مستشفيات الصحة النفسية والرعاية المديدة والتأهيل بوزارة الصحة حسب التجمعات الصحية عام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع الباحة الصحي,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع الجوف الصحي,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع جازان الصحي,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع نجران الصحي,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
حالات الخروج من مستشفيات وزارة الصحة حسب التجمعات الصحية والجنس والجنسية عام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
حالات الدخول لمستشفيات وزارة الصحة حسب التجمعات الصحية والجنس والجنسية عام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
زيارات المراجعين لعيادات الأسنان بوزارة الصحة حسب الجنس والجنسية والتجمع الصحي عام 2024م,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
زيارات المراجعين لعيادات السكرى بمستشفيات وزارة الصحة حسب الجنس والجنسية والتجمع الصحي عام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
عدد المواعيد الافتراضية المكتملة بمرافق وزارة الصحة حسب التجمعات الصحية لعام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
مديريات الشؤون الصحية السابقة بالمناطق والمحافظات وما يقابلها من المناطق الإدارية والمحافظات والتجمعات الصحية وفروع ومكاتب وزارة الصحة,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Riyadh,321,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الرياض,293,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
المدينة المنورة,275,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Eastern,252,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
القصيم,246,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الشرقية,241,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
عسير,238,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
تبوك,237,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
حائل,228,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الحدود الشمالية,165,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جازان,152,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Jazan,147,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Makkah,96,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Northern Borders,72,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Najran,67,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
نجران,66,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Madinah,59,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مكة المكرمة,56,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الباحة,39,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الجوف,34,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Hail,31,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Qassim,31,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Asir,29,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Al-Bahah,23,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Al-Jouf,23,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Tabuk,17,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Al Jouf,8,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
وزارة الرياضة,7,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Al Baha,6,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Al- Bahah,6,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
King Abdulaziz Medical City- Riyadh,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
King Abdulaziz University Hospital - Riyadh,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
King Abdullah Bin Abdulaziz University Hospital - Riyadh,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
King Khalid University Hospital - Riyadh,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Riyadh Care Hospital,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
jazan,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الأنشطة والخدمات الرئيسية بمستشفى الملك خالد التخصصي للعيون بالرياض في الأعوام الخمسة الأخيرة,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الرياض Riyadh,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
المدينة المنورة Madinah,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
المنطقة الشرقية,4,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مدينة الملك عبد العزيز الطبية -الرياض,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مستشفى الملك خالد الجامعي بالرياض,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مستشفى الملك عبد العزيز الجامعي - الرياض,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مستشفى الملك عبدالله بن عبدالعزيز بجامعة الأميرة نورة- الرياض,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مستشفى رعاية الرياض,4,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Al -Bahah,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Albaha,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Central Security Hospital - Riyadh,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Northern Borders Border,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Riyadh National Hospital,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Security Forces Hospital- Riyadh,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Security Forces Hospital-Makkah,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جامعة القصيم,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مستشفى الأمن المركزي -الرياض,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مكةالمكرمة,3,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Al-jouf,2,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
RIYADH ELM UNIVERSITY,2,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
المدينة,2,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جازان Jazan,2,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
عسير Aseer,2,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Al- Jouf,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Al-Jouf*,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Albaha region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Aljouf region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
All Governorates in Riyadh Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
"All governorates of Asir region except Bisha, Tathlith, Balqarn and Al Amwah",1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
All governorates of Hail region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
