comparison_group_id,source_year,topic,workbook_name,sheet_name,grain_candidate,geography_candidate,units_candidate,confirmed_grain,confirmed_key_columns,confirmed_measure_columns,manual_status
FY-015,2022,Workforce,2022-Chapter-IV-Health-Activities.xlsx,39,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-015,2023,Workforce,Statistical-Yearbook-2023.xlsx,39.,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-015,2024,Workforce,Statistical-Yearbook-2024.xlsx,4-49,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-016,2021,Capacity,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.43,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,,,,,PENDING
FY-016,2022,Capacity,2022-Chapter-II-Health-Resources.xlsx,2.43,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,,,,,PENDING
FY-016,2023,Capacity,Statistical-Yearbook-2023.xlsx,51,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,,,,,PENDING
FY-016,2024,Capacity,Statistical-Yearbook-2024.xlsx,2-58,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-017,2021,Capacity,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,,,,,PENDING
FY-017,2022,Capacity,2022-Chapter-II-Health-Resources.xlsx,2.44,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,,,,,PENDING
FY-017,2023,Capacity,Statistical-Yearbook-2023.xlsx,52,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,,,,,PENDING
FY-017,2024,Capacity,Statistical-Yearbook-2024.xlsx,2-59,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-018,2021,Capacity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,COUNT,,,,PENDING
FY-018,2022,Capacity,2022-Chapter-IV-Health-Activities.xlsx,7,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,COUNT,,,,PENDING
FY-018,2023,Capacity,Statistical-Yearbook-2023.xlsx,7..,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,COUNT,,,,PENDING
