comparison_group_id,source_year,workbook_name,sheet_name,topic,likely_table_title,probable_header_row,probable_data_start_row,header_non_empty_count,header_values_json,detected_geography,detected_units,total_terms_found,source_or_note_terms
FY-008,2024,Statistical-Yearbook-2024.xlsx,2-37,Workforce,Health Manpower in MoH by Nationality in the Last Five Years,12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-009,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.17,Capacity | Workforce,"Health Manpower in MOH Hospitals by Nationality, in the last Five Years",14,15,7,"[""المجموع"", ""=C12+C13"", ""=D12+D13"", ""=E12+E13"", ""=F12+F13"", ""=SUM(G12:G13)"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-009,2022,2022-Chapter-II-Health-Resources.xlsx,2.17,Capacity | Workforce,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",14,15,7,"[""المجموع"", ""=C12+C13"", ""=D12+D13"", ""=E12+E13"", ""=SUM(F12:F13)"", ""=SUM(G12:G13)"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-009,2023,Statistical-Yearbook-2023.xlsx,22,Capacity | Workforce,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""18047"", ""18136"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-009,2024,Statistical-Yearbook-2024.xlsx,2-40,Capacity | Workforce,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""18136"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-010,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21,Capacity | Workforce,"Health Manpower in Primary Health Care Centers, MOH, in the last Five Years",14,15,7,"[""المجموع"", ""=C12+C13"", ""=D12+D13"", ""=E12+E13"", ""=F12+F13"", ""=SUM(G12:G13)"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-010,2022,2022-Chapter-II-Health-Resources.xlsx,2.21,Capacity | Workforce,"Health Manpower in Primary Health Care Centers, MoH, in the last Five Years",14,15,7,"[""المجموع"", ""=C12+C13"", ""=D12+D13"", ""=E12+E13"", ""=SUM(F12:F13)"", ""=SUM(G12:G13)"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-010,2023,Statistical-Yearbook-2023.xlsx,26,Capacity | Workforce,"Health Manpower in Primary Health Care Centers, MoH, in the last Five Years",12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""5708"", ""7275"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-010,2024,Statistical-Yearbook-2024.xlsx,2-42,Capacity | Workforce,"Health Manpower in Primary Health Care Centers, MoH, in the last Five Years",12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""7275"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-011,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.22,Capacity | Workforce,"Physicians and Dentists in MOH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",4,5,6,"[""التخصص"", ""الجنسية"", ""السنـة"", ""Year"", ""Nationality"", ""Speciality""]",UNKNOWN_OR_NATIONAL,BEDS,total | المجموع,
FY-011,2022,2022-Chapter-II-Health-Resources.xlsx,2.22,Capacity | Workforce,"Physicians and Dentists in MoH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",4,5,6,"[""التخصص"", ""الجنسية"", ""السنـة"", ""Year"", ""Nationality"", ""Speciality""]",UNKNOWN_OR_NATIONAL,BEDS,total | المجموع,
FY-011,2023,Statistical-Yearbook-2023.xlsx,27,Capacity | Workforce,"Physicians and Dentists in MoH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",4,5,6,"[""التخصص"", ""الجنسية"", ""العام"", ""Year"", ""Nationality"", ""Speciality""]",UNKNOWN_OR_NATIONAL,BEDS,total | المجموع,
FY-011,2024,Statistical-Yearbook-2024.xlsx,2-43,Capacity | Workforce,"Physicians and Dentists in MoH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",14,15,7,"[""المجموع"", ""235"", ""=SUM(D12:D13)"", ""=SUM(E12:E13)"", ""=SUM(F12:F13)"", ""=SUM(G12:G13)"", ""Total""]",UNKNOWN_OR_NATIONAL,BEDS,total | المجموع,
