Year,GeographyType,Geography,Sector,CapacityMeasure,Value,Unit,SourceGroup,SourceWorkbook,SourceSheet
2023,Administrative Region,Asir,Saudi Red Crescent Authority,Ambulances,104,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Asir,Saudi Red Crescent Authority,First Aid Centers,44,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Eastern Region,Saudi Red Crescent Authority,Ambulances,185,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Eastern Region,Saudi Red Crescent Authority,First Aid Centers,66,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Hail,Saudi Red Crescent Authority,Ambulances,51,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Hail,Saudi Red Crescent Authority,First Aid Centers,17,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Jazan,Saudi Red Crescent Authority,Ambulances,54,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Jazan,Saudi Red Crescent Authority,First Aid Centers,24,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Madinah,Saudi Red Crescent Authority,Ambulances,92,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Madinah,Saudi Red Crescent Authority,First Aid Centers,38,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Makkah,Saudi Red Crescent Authority,Ambulances,264,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Makkah,Saudi Red Crescent Authority,First Aid Centers,106,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Najran,Saudi Red Crescent Authority,Ambulances,48,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Najran,Saudi Red Crescent Authority,First Aid Centers,17,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Northern Borders,Saudi Red Crescent Authority,Ambulances,36,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Northern Borders,Saudi Red Crescent Authority,First Aid Centers,14,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Qassim,Saudi Red Crescent Authority,Ambulances,77,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Qassim,Saudi Red Crescent Authority,First Aid Centers,30,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Riyadh,Saudi Red Crescent Authority,Ambulances,291,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Riyadh,Saudi Red Crescent Authority,First Aid Centers,102,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Tabuk,Saudi Red Crescent Authority,Ambulances,62,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Tabuk,Saudi Red Crescent Authority,First Aid Centers,26,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,National,Saudi Arabia,All Sectors,"Beds per 10,000 population",23.7,"Beds per 10,000 population",FY-005,Statistical-Yearbook-2023.xlsx,2.
2023,National,Saudi Arabia,Ministry of Health,Beds,47305,Count,FY-005,Statistical-Yearbook-2023.xlsx,2.
