workbook_name,sheet_index,sheet_name,max_row,max_column,sheet_state
statistical-yearbook-2021-chapter-II-health-resources.xlsx,13,2-12,30,20,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,14,2-13,29,19,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,15,2.14,77,38,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,16,2.15,29,22,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,17,2.16,29,9,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,18,2.17,29,19,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,19,2.18,176,21,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,20,2.19,131,75,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,21,2.20,31,11,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,22,2.21,29,19,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,23,2.22,34,9,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,24,2.23,176,21,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,25,2.24,158,21,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,26,2.25,19,56,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,27,2.26,119,21,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,28,2.27,131,24,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,29,2.28,29,19,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,30,2.29,31,29,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,31,2.30,29,25,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,32,2.31,20,40,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,33,2.32,17,37,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,34,2-33,29,16,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,35,2.34,181,24,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,36,2.35,178,17,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,37,2.36,176,16,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,38,2.37,131,31,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,39,2.38,31,27,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,40,2.39,70,5,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,41,2.40,31,30,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,42,2-41,122,7,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,43,2.42,114,7,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,44,2.43,70,32,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,45,2.44,43,32,visible
statistical-yearbook-2021-chapter-II-health-resources.xlsx,46,2-45,120,32,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,1,فهرس الباب الرابع,124,38,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,2,1,29,10,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,3,2,40,11,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,4,3,40,7,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,5,4,39,22,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,6,5,27,14,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7,6,48,21,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,8,7,26,7,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,9,8,21,10,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,10,9,32,12,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,11,10,78,15,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,12,4.11,25,5,hidden
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,13,112020,26,23,hidden
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,14,11,27,9,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,15,12,20,9,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,16,13,41,9,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,17,14,19,16,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,18,15,20,10,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,19,16,32,30,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,20,17,33,14,visible
